"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Azerbaijan","AZE","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.30953099163573","1.14999300631848","1.01646066894248","1.368551660922","1.73182118665393","8.55945903006787","13.7739672073665","7.72948174405788","3.89857196596958","2.8122107826307","3.30108206443938","4.34552506108911","4.95159340426308","7.06727951722298","2.09710423147129","3.90300406895004",
"Burundi","BDI","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.305334493764196","1.45729832506366","3.49266770916697","3.1959825567903","1.66362151202897","25.9363119662271","0.470990947883211","0.120495501588776","0.250001784207837","1.10935828144529",
"Belgium","BEL","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.46280131521921","8.94379650936199","11.355832517814","9.26259212516684","8.67392750332438","8.94089631117732","10.6391694140643","11.9385860860968","12.3344590113891","13.3305118312538","11.4912824414212","11.7053410060459","14.1436627541351","15.2616851362858","21.3797358505347","21.8780511461657",
"Benin","BEN","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.27585565497432","4.13534388145926","1.62543807696831","1.24487830227425","4.67071707942552","2.84228678612343","1.48291431982405","1.84364942977986","2.69844689930495","4.28329372826748",
"Burkina Faso","BFA","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2008001330858","16.5832281418902","10.7872169710505","8.62483762166537","14.0169625118317","11.0587712923066","4.96027740230027","5.94496725526008","5.75853215182819","5.88092859304184","25.7871512116805","3.40123479951733","2.25653916783306","1.45626022947602",
"Bangladesh","BGD","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.435480459951987","0.305861221775","0.213021520039452","0.194923395405352","0.463362852741659","0.299088589886605","","0.307867108420826","","","","","","","",
"Bulgaria","BGR","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.29338581053458","6.97008699611227","8.66205735683869","8.40070161433491","7.80911607254197","8.04178568530275","8.28438930158745","7.56472413588559","8.4306074564508","8.9774897584043","9.62998948506664","10.3687023369044","10.8470076373142","11.2950526770834","10.9133504472393","8.57498226676071",
"Bahrain","BHR","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0312131357653221","0.11026045503336","0.152292185757832","0.386615906965764","0.592038996188625","1.49913895991035","0.935614350242258","1.05834005006869","0.624948540432969","0.449029982743079","4.44818415394495","8.97366105587992","0.59059004344565","0.544705360627931",
"Bahamas, The","BHS","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.271118397403E-05","0.00179611894057708","0","0","0","0","0","2.10443665797755","7.8029534837207","1.96612589839874","1.20541491923156","3.044762602524","","0",
"Bosnia and Herzegovina","BIH","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.49999117841678","3.54054512336903","2.83311648896913","3.27169913150952","2.61783206345175","2.40453152014227","2.49515261123612","2.96381994739358","2.73442380884611","5.44354936149321","5.25473159863032","5.2661213727856","4.61445249543468","5.31622198598116","5.1638033162625",
